text,sentiment
"I love this movie, it's fantastic!",positive
"This was a terrible experience.",negative
"The acting was superb and the plot was gripping.",positive
"I would not recommend this product to anyone.",negative
"The food was delicious and the service was excellent.",positive
"A complete waste of time and money.",negative
"Absolutely brilliant, a must-see film.",positive
"The quality is poor and it broke after one use.",negative
"I am so happy with this purchase, highly recommend!",positive
"The movie was boring and the ending was predictable.",negative
"This is the best thing I have ever bought.",positive
"I am very disappointed with the customer service.",negative